Miasta,Województwo,Powiaty i miasta na prawach powiatu,Area in km²,Population,Search
Warszawa,mazowieckie,Warszawa,517,1861599,warszawa
Kraków,małopolskie,Kraków,327,806201,krakow
Wrocław,dolnośląskie,Wrocław,293,673743,wroclaw
Łódź,łódzkie,Łódź,293,652015,lodz
Poznań,wielkopolskie,Poznań,262,538439,poznan
Gdańsk,pomorskie,Gdańsk,683,487371,gdansk
Szczecin,zachodniopomorskie,Szczecin,301,389066,szczecin
Lublin,lubelskie,Lublin,147,329565,lublin
Bydgoszcz,kujawsko-pomorskie,Bydgoszcz,176,326434,bydgoszcz
Białystok,podlaskie,Białystok,102,291688,bialystok
Katowice,śląskie,Katowice,165,279190,katowice
Gdynia,pomorskie,Gdynia,391,241189,gdynia
Częstochowa,śląskie,Częstochowa,160,205969,czestochowa
Rzeszów,podkarpackie,Rzeszów,129,197268,rzeszow
Radom,mazowieckie,Radom,112,196005,radom
Toruń,kujawsko-pomorskie,Toruń,116,194771,torun
Sosnowiec,śląskie,Sosnowiec,91,187115,sosnowiec
Kielce,świętokrzyskie,Kielce,110,182295,kielce
Gliwice,śląskie,Gliwice,134,169915,gliwice
Olsztyn,warmińsko-mazurskie,Olsztyn,88,167311,olsztyn
Bielsko-Biała,śląskie,Bielsko-Biała,124,165766,bielsko-biala
Zabrze,śląskie,Zabrze,80,153838,zabrze
Bytom,śląskie,Bytom,69,147759,bytom
Zielona Góra,lubuskie,Zielona Góra,275,138932,zielona%20gora
Rybnik,śląskie,Rybnik,148,130887,rybnik
Ruda Śląska,śląskie,Ruda Śląska,78,130302,ruda%20slaska
Opole,opolskie,Opole,149,126077,opole
Tychy,śląskie,Tychy,82,122045,tychy
Gorzów Wielkopolski,lubuskie,Gorzów Wielkopolski,86,115247,gorzow%20wielkopolski
Dąbrowa Górnicza,śląskie,Dąbrowa Górnicza,189,113460,dabrowa%20gornicza
Elbląg,warmińsko-mazurskie,Elbląg,80,112923,elblag
Płock,mazowieckie,Płock,88,111190,plock
Koszalin,zachodniopomorskie,Koszalin,106,105540,koszalin
Tarnów,małopolskie,Tarnów,72,103129,tarnow
Włocławek,kujawsko-pomorskie,Włocławek,85,100807,wloclawek
Chorzów,śląskie,Chorzów,33,100593,chorzow
Wałbrzych,dolnośląskie,Wałbrzych,85,100294,walbrzych
Kalisz,wielkopolskie,Kalisz,69,93137,kalisz
Legnica,dolnośląskie,Legnica,56,91948,legnica
Grudziądz,kujawsko-pomorskie,Grudziądz,58,88658,grudziadz
Jaworzno,śląskie,Jaworzno,152,86812,jaworzno
Słupsk,pomorskie,Słupsk,53,85504,slupsk
Jastrzębie-Zdrój,śląskie,Jastrzębie-Zdrój,85,82301,jastrzebie-zdroj
Nowy Sącz,małopolskie,Nowy Sącz,58,80358,nowy%20sacz
Siedlce,mazowieckie,Siedlce,32,75297,siedlce
Jelenia Góra,dolnośląskie,Jelenia Góra,109,75124,jelenia%20gora
Mysłowice,śląskie,Mysłowice,66,71280,myslowice
Piła,wielkopolskie,Pilski,103,70054,pila
Ostrów Wielkopolski,wielkopolskie,Ostrowski,42,69260,ostrow%20wielkopolski
Suwałki,podlaskie,Suwałki,66,68231,suwalki
Lubin,dolnośląskie,Lubiński,41,67620,lubin
Inowrocław,kujawsko-pomorskie,Inowrocławski,30,67378,inowroclaw
Konin,wielkopolskie,Konin,82,67066,konin
Stargard,zachodniopomorskie,Stargardzki,48,66604,stargard
Piotrków Trybunalski,łódzkie,Piotrków Trybunalski,67,66519,piotrkow%20trybunalski
Pruszków,mazowieckie,Pruszkowski,19,65461,pruszkow
Gniezno,wielkopolskie,Gnieźnieński,41,63549,gniezno
Siemianowice Śląskie,śląskie,Siemianowice Śląskie,26,63401,siemianowice%20slaskie
Ostrowiec Świętokrzyski,świętokrzyskie,Ostrowiecki,46,62093,ostrowiec%20swietokrzyski
Głogów,dolnośląskie,Głogowski,35,62049,glogow
Żory,śląskie,Żory,65,61774,zory
Tarnowskie Góry,śląskie,Tarnogórski,84,61321,tarnowskie%20gory
Pabianice,łódzkie,Pabianicki,33,60598,pabianice
Leszno,wielkopolskie,Leszno,32,60051,leszno
Ełk,warmińsko-mazurskie,Ełcki,21,59759,elk
Łomża,podlaskie,Łomża,33,59711,lomza
Zamość,lubelskie,Zamość,30,58231,zamosc
Tomaszów Mazowiecki,łódzkie,Tomaszowski,41,57438,tomaszow%20mazowiecki
